"","ADJ","ADP","ADV","AUX","CCONJ","DET","INTJ","NOUN","NUM","PART","PRON","PROPN","PUNCT","SCONJ","SYM","VERB","X"
"ADJ",1518,1,53,0,0,1,4,40,0,0,1,19,0,1,0,20,3
"ADP",11,1949,26,0,1,0,4,7,0,5,1,8,0,34,4,3,2
"ADV",30,36,1075,0,0,7,1,15,0,11,5,5,0,4,0,2,0
"AUX",0,0,2,1502,0,1,0,5,0,2,0,7,0,0,0,21,0
"CCONJ",0,1,3,0,733,0,0,0,0,1,0,0,0,0,0,0,0
"DET",3,0,3,0,0,1878,1,2,0,0,11,1,0,0,0,0,0
"INTJ",1,1,0,0,0,1,102,2,0,0,0,5,0,0,0,3,0
"NOUN",65,2,11,1,2,0,6,3761,3,0,5,216,0,1,1,50,15
"NUM",1,1,0,0,0,0,0,24,518,0,0,8,0,1,0,1,1
"PART",1,8,2,0,0,0,0,0,0,629,0,0,1,1,0,0,0
"PRON",1,0,2,1,0,8,1,5,5,0,2137,13,0,6,0,0,0
"PROPN",115,4,0,1,0,0,1,205,12,0,0,1702,0,1,0,14,6
"PUNCT",0,0,0,0,0,0,0,0,0,1,0,0,3083,0,20,0,2
"SCONJ",1,20,4,0,0,1,0,1,0,0,5,0,0,333,0,1,0
"SYM",0,0,0,0,0,0,0,3,0,0,0,2,12,0,88,0,0
"VERB",41,2,7,37,0,0,1,45,1,0,0,14,0,1,0,2491,1
"X",0,0,3,1,0,0,0,8,3,0,0,75,0,1,0,0,12
