"","ADJ","ADP","ADV","AUX","CCONJ","DET","INTJ","NOUN","NUM","PART","PRON","PROPN","PUNCT","SCONJ","SYM","VERB","X"
"ADJ",693,6,24,2,1,1,7,43,0,0,2,21,0,4,0,25,36
"ADP",6,1115,14,0,0,0,4,12,0,15,2,12,0,10,0,11,13
"ADV",28,18,735,0,2,4,6,23,0,11,10,12,0,1,0,9,6
"AUX",2,2,1,877,0,0,1,2,0,1,1,1,0,0,0,30,3
"CCONJ",0,0,2,0,293,3,0,2,1,0,0,1,0,0,0,2,2
"DET",0,0,7,1,1,802,2,4,0,0,16,3,0,1,0,1,5
"INTJ",0,0,4,0,0,1,111,3,0,0,0,3,1,1,1,4,6
"NOUN",55,8,10,3,0,3,37,2100,8,0,16,274,1,3,12,138,633
"NUM",2,1,2,0,0,0,0,11,285,2,0,222,1,0,4,0,454
"PART",0,6,3,2,1,0,0,0,0,436,3,1,10,0,0,5,2
"PRON",1,1,1,0,0,6,4,2,1,0,1633,7,0,4,0,2,11
"PROPN",117,17,12,14,0,4,32,371,8,0,19,1047,0,2,1,94,827
"PUNCT",0,0,0,0,1,0,0,0,0,2,0,1,2519,0,17,0,0
"SCONJ",1,12,9,0,0,2,5,8,0,0,9,4,0,180,0,6,2
"SYM",2,1,0,0,0,0,1,10,1,0,0,1,9,0,228,2,4
"VERB",47,1,10,20,0,0,7,74,0,1,1,15,0,2,1,1653,29
"X",1,1,0,0,1,0,1,4,0,1,4,15,0,1,1,3,23
