"tag","precision","recall","f1"
"ADJ",0.913907284768212,0.848993288590604,0.880255146419252
"ADP",0.948418491484185,0.962469135802469,0.955392156862745
"ADV",0.902602854743913,0.902602854743913,0.902602854743913
"AUX",0.975324675324675,0.973428386260531,0.974375608173857
"CCONJ",0.993224932249323,0.995923913043478,0.994572591587517
"DET",0.988941548183254,0.989984185556141,0.989462592202318
"INTJ",0.88695652173913,0.84297520661157,0.864406779661017
"NOUN",0.908673592655231,0.912199854474897,0.91043330912612
"NUM",0.933333333333333,0.955719557195572,0.944393801276208
"PART",0.979750778816199,0.969183359013868,0.97443841982959
"PRON",0.980725103258375,0.987066974595843,0.983885819521179
"PROPN",0.825812712275594,0.820240963855422,0.823017408123791
"PUNCT",0.992594977462975,0.995801033591731,0.99419542083199
"SCONJ",0.909836065573771,0.8671875,0.888
"SYM",0.838095238095238,0.778761061946903,0.807339449541284
"VERB",0.943203332071185,0.955871066768995,0.94949494949495
"X",0.116504854368932,0.285714285714286,0.16551724137931
